id_hecho,fecha,rol,vehiculo_victima,sexo,edad,fecha_fallecimiento,cantidad_victimas,hora,lugar,tipo_de_calle,comuna,longitud,latitud,vehiculo_acusado
2016-0001,2016-01-01,CONDUCTOR,MOTO,MASCULINO,19.0,2016-01-01,1,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8.0,-58.47533969,-34.68757022,AUTO
2016-0002,2016-01-02,CONDUCTOR,AUTO,MASCULINO,70.0,2016-01-02,1,1,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,9.0,-58.50877521,-34.66977709,PASAJEROS
2016-0003,2016-01-03,CONDUCTOR,MOTO,MASCULINO,30.0,2016-01-03,1,7,AV ENTRE RIOS 2034,AVENIDA,1.0,-58.39040293,-34.63189362,AUTO
2016-0004,2016-01-10,CONDUCTOR,MOTO,MASCULINO,18.0,,1,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8.0,-58.46503904,-34.68092974,SD
2016-0005,2016-01-21,CONDUCTOR,MOTO,MASCULINO,29.0,2016-02-01,1,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA,AVENIDA,1.0,-58.38718297,-34.62246630,PASAJEROS
2016-0008,2016-01-24,CONDUCTOR,MOTO,MASCULINO,30.0,2016-01-24,1,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8.0,-58.44451316,-34.68475866,OBJETO FIJO
2016-0009,2016-01-24,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29.0,2016-01-26,1,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11.0,-58.50095869,-34.60825440,AUTO
2016-0010,2016-01-29,CONDUCTOR,MOTO,MASCULINO,18.0,2016-01-29,1,15,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,9.0,-58.50877521,-34.66977709,AUTO
2016-0012,2016-02-08,CONDUCTOR,MOTO,MASCULINO,22.0,2016-02-08,1,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1.0,-58.38048577,-34.61303893,CARGAS
2016-0013,2016-02-10,PEATON,PEATON,MASCULINO,16.0,2016-02-10,1,11,AV ENTRE RIOS 1366,AVENIDA,1.0,-58.39114932,-34.62477387,AUTO
2016-0015,2016-02-14,PEATON,PEATON,FEMENINO,16.0,2016-02-14,1,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15.0,-58.43760020,-34.59912758,AUTO
2016-0016,2016-02-14,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19.0,2016-02-14,1,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4.0,-58.36882665,-34.64291993,AUTO
2016-0017,2016-02-15,PEATON,PEATON,MASCULINO,59.0,2016-02-16,1,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8.0,-58.44989671,-34.65970435,MOTO
2016-0019,2016-02-17,PEATON,PEATON,FEMENINO,65.0,2016-02-17,1,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA,CALLE,9.0,-58.50990884,-34.65468721,PASAJEROS
2016-0020,2016-02-17,PEATON,PEATON,MASCULINO,59.0,2016-03-02,1,16,SUIPACHA 156,CALLE,1.0,-58.37952223,-34.60653282,AUTO
2016-0021,2016-02-17,CONDUCTOR,AUTO,MASCULINO,34.0,2016-02-17,1,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7.0,-58.45157703,-34.63063795,AUTO
2016-0022,2016-02-21,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41.0,,1,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1.0,-58.38144696,-34.61079875,AUTO
2016-0025,2016-02-28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,2016-02-28,1,4,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,8.0,-58.46244952,-34.70524971,AUTO
2016-0026,2016-02-28,CONDUCTOR,AUTO,MASCULINO,30.0,2016-03-04,1,7,HOLMBERG Y VEDIA,CALLE,12.0,-58.49216191,-34.54738649,OBJETO FIJO
2016-0027,2016-02-28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,,1,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,7.0,-58.44497874,-34.63852623,AUTO
2016-0028,2016-03-02,PEATON,PEATON,MASCULINO,50.0,2016-03-02,1,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,1.0,-58.38199706,-34.60028648,CARGAS
2016-0029,2016-03-04,PEATON,PEATON,MASCULINO,38.0,2016-03-04,1,17,AV CABILDO Y DEHEZA,AVENIDA,12.0,-58.47378664,-34.54153077,PASAJEROS
